ID,FECHA_UTC,HORA_UTC,FECHA_CORTE,LATITUD,LONGITUD,PROFUNDIDAD,MAGNITUD,EPICENTRO,DEPARTAMENTO
0,19600113,154034,20223006,-16.145,-72.144,60,7.5,PERU,AREQUIPA
1,19600115,093024,20223006,-15,-75,70,7,PERU,ICA
2,19600117,025758,20223006,-14.5,-74.5,150,6.4,PERU,AYACUCHO
3,19600123,033732,20223006,-12.5,-68.5,300,5.8,BOLIVIA,BOLIVIA
4,19600130,050724,20223006,-5.5,-77.5,100,5.7,PERU,LORETO
5,19600208,190616,20223006,-8.5,-74.5,136,5.3,PERU,UCAYALI
6,19600213,204006,20223006,-17.5,-70,150,5.9,PERU,TACNA
7,19600309,235425,20223006,-16.389,-73.817,80,6.2,OCEANO,MAR
8,19600401,131823,20223006,-14.5,-73.5,100,6.1,PERU,APURIMAC
9,19600504,012852,20223006,-18,-71.5,100,5,OCEANO,MAR
10,19600512,120924,20223006,-9,-72.5,60,5.8,BRASIL,BRASIL
11,19600704,080207,20223006,-8,-71,600,6.2,BRASIL,BRASIL
12,19600709,020539,20223006,-15,-70.5,200,5.9,PERU,PUNO
13,19600719,041914,20223006,-7,-80,33,5.3,OCEANO,MAR
14,19600730,071515,20223006,-2.5,-77.5,200,5.8,ECUADOR,ECUADOR
15,19600913,215534,20223006,-15,-75.51,67,5.7,OCEANO,MAR
16,19600914,000803,20223006,-15.2,-76.2,91,5.4,OCEANO,MAR
17,19600924,135833,20223006,-3,-75.9,146,6.4,PERU,LORETO
18,19600926,165813,20223006,-16,-72.9,115,5.3,PERU,AREQUIPA
19,19601103,220219,20223006,-14.4,-71.6,55,5.3,PERU,CUSCO
20,19601111,065327,20223006,-16.1,-71.9,114,5.6,PERU,AREQUIPA
21,19601120,220156,20223006,-5.6,-80.9,60,6.8,OCEANO,MAR
22,19601129,191706,20223006,-16,-74,33,5.8,PERU,AREQUIPA
23,19601217,073831,20223006,-15.2,-73.5,28,5.2,PERU,AYACUCHO
24,19601222,034721,20223006,-16.2,-72.9,147,5.2,PERU,AREQUIPA
25,19601230,110336,20223006,-17,-70,47,5.6,PERU,PUNO
26,19610108,052146,20223006,-15.9,-73.1,135,5.1,PERU,AREQUIPA
27,19610128,032446,20223006,-13.6,-76.3,86,6,OCEANO,MAR
28,19610208,080413,20223006,-10.4,-71,600,6,PERU,UCAYALI
29,19610317,100628,20223006,-11.1,-78.8,60,5,OCEANO,MAR
30,19610409,171747,20223006,-18.3,-70.2,29,5.3,PERU,TACNA
31,19610427,175214,20223006,-13.2,-75.1,83,6.2,PERU,HUANCAVELICA
32,19610603,042156,20223006,-18.1,-70.3,60,5.3,PERU,TACNA
33,19610617,105630,20223006,-12,-75.3,29,5.5,PERU,JUNIN
34,19610701,131040,20223006,-15.3,-74.8,68,5.8,PERU,AREQUIPA
35,19610703,144930,20223006,-8.7,-79.1,57,5.8,OCEANO,MAR
36,19610708,054902,20223006,-6.2,-77.1,15,5.8,PERU,SAN MARTIN
37,19610728,010531,20223006,-2.287,-77.035,142,6.6,ECUADOR,ECUADOR
38,19610817,174943,20223006,-17.4,-72.7,46,5.6,OCEANO,MAR
39,19610819,050949,20223006,-10.8,-71,649,7,PERU,MADRE DE DIOS
40,19610820,091011,20223006,-11.5,-70.6,630,6.1,PERU,MADRE DE DIOS
41,19610828,062819,20223006,-15.2,-70.2,185,5.3,PERU,PUNO
42,19610828,212716,20223006,-14.1,-73.9,100,4.8,PERU,AYACUCHO
43,19610830,034528,20223006,-3.9,-77.8,33,5.5,PERU,AMAZONAS
44,19610831,014839,20223006,-10.4,-70.7,605,7.1,PERU,MADRE DE DIOS
45,19610831,015708,20223006,-10.5,-70.7,629,7.5,PERU,MADRE DE DIOS
46,19610906,153020,20223006,-10.9,-79.1,45,4.8,OCEANO,MAR
47,19610912,111825,20223006,-11.1,-70.6,543,5.6,PERU,MADRE DE DIOS
48,19611011,122835,20223006,-13.3,-75.5,137,5.3,PERU,HUANCAVELICA
49,19611108,193000,20223006,-13.98,-71.9,20,5.2,PERU,CUSCO
50,19611110,020734,20223006,-14.3,-71.9,68,5.6,PERU,CUSCO
51,19611123,111728,20223006,-5.6,-80.3,61,6.1,PERU,PIURA
52,19611129,203809,20223006,-7.2,-76.4,33,5.8,PERU,SAN MARTIN
53,19611209,035855,20223006,-14.9,-75.7,39,5.3,OCEANO,MAR
54,19611224,142531,20223006,-5.7,-80.9,33,6.1,OCEANO,MAR
55,19620102,052341,20223006,-18.1,-70.6,77,5.3,PERU,TACNA
56,19620125,072604,20223006,-15.7,-69.6,190,4.6,BOLIVIA,BOLIVIA
57,19620301,021237,20223006,-15.7,-74.3,64,5.9,PERU,AREQUIPA
58,19620312,015237,20223006,-13.9,-72.6,91,5,PERU,APURIMAC
59,19620319,210416,20223006,-16.8,-73.5,33,5.1,OCEANO,MAR
60,19620322,205036,20223006,-14.9,-70.7,119,5.1,PERU,PUNO
61,19620418,191437,20223006,-10,-79,39,6.7,OCEANO,MAR
62,19620715,144350,20223006,-9.3,-78.9,80,5.9,OCEANO,MAR
63,19620725,060515,20223006,-14.3,-75.5,100,5.2,PERU,ICA
64,19620725,065556,20223006,-16.3,-75,33,5.3,OCEANO,MAR
65,19620824,131537,20223006,-17.5,-70.4,92,5.7,PERU,TACNA
66,19620830,062228,20223006,-17.4,-69.8,145,5.3,PERU,TACNA
67,19620909,032156,20223006,-15.6,-73.4,98,5.3,PERU,AREQUIPA
68,19620920,092526,20223006,-15.5,-76.1,33,5.2,OCEANO,MAR
69,19620922,164531,20223006,-15.5,-73.1,137,5.2,PERU,AREQUIPA
70,19620928,221452,20223006,-13.8,-76.7,61,4.8,OCEANO,MAR
71,19620929,075820,20223006,-17.1,-70.5,33,6,PERU,MOQUEGUA
72,19621020,063329,20223006,-17.2,-69.7,153,5.3,PERU,PUNO
73,19621108,000210,20223006,-15.1,-75.4,44,5.3,OCEANO,MAR
74,19621115,232515,20223006,-8.7,-79.8,45,6.2,OCEANO,MAR
75,19621123,003004,20223006,-15.262,-75.512,20,5.9,OCEANO,MAR
76,19621224,174305,20223006,-8.4,-78.7,80,5.1,PERU,LA LIBERTAD
77,19630116,202051,20223006,-3.9,-76.8,102,6,PERU,LORETO
78,19630117,042219,20223006,-10.7,-79,21,4.9,OCEANO,MAR
79,19630117,193059,20223006,-8.3,-75.1,124,5.8,PERU,UCAYALI
80,19630122,083235,20223006,-11.6,-75,47,4.9,PERU,JUNIN
81,19630203,111809,20223006,-9.1,-77.1,33,4.6,PERU,ANCASH
82,19630216,213222,20223006,-8.5,-80.1,33,5.2,OCEANO,MAR
83,19630224,053819,20223006,-15.1,-72.5,97,5.3,PERU,AREQUIPA
84,19630227,110042,20223006,-15.1,-73.6,105,5.5,PERU,AYACUCHO
85,19630304,154302,20223006,-4.5,-81.6,23,5.6,OCEANO,MAR
86,19630304,183151,20223006,-15.8,-75.3,40,5.3,OCEANO,MAR
87,19630305,070500,20223006,-4.5,-81.5,22,5.8,OCEANO,MAR
88,19630331,044559,20223006,-6.6,-81.2,31,5.5,OCEANO,MAR
89,19630331,055100,20223006,-10.8,-78.5,32,5.8,OCEANO,MAR
90,19630403,013559,20223006,-4.8,-78.4,33,4.9,PERU,AMAZONAS
91,19630404,082626,20223006,-16.3,-73,95,5,PERU,AREQUIPA
92,19630406,004300,20223006,-18,-69.9,159,4.8,PERU,TACNA
93,19630413,022058,20223006,-6.2,-76.5,125,6.9,PERU,SAN MARTIN
94,19630428,052205,20223006,-11.7,-78.1,10,5.3,OCEANO,MAR
95,19630430,184307,20223006,-8.3,-80,9,5.4,OCEANO,MAR
96,19630510,130522,20223006,-8,-74.4,143,4.9,PERU,UCAYALI
97,19630517,141105,20223006,-14.1,-73.9,94,5.4,PERU,AYACUCHO
98,19630526,124346,20223006,-16.9,-72.4,47,5.1,OCEANO,MAR
99,19630526,191339,20223006,-5.5,-81.2,33,5.1,OCEANO,MAR
100,19630618,153955,20223006,-5.3,-78.5,33,4.9,PERU,AMAZONAS
101,19630621,121313,20223006,-4.9,-81.2,45,4.6,OCEANO,MAR
102,19630624,012103,20223006,-15.3,-69.4,179,4.5,PERU,PUNO
103,19630625,104531,20223006,-15.9,-75.2,33,4.7,OCEANO,MAR
104,19630627,131515,20223006,-11.7,-77.6,33,4.7,OCEANO,MAR
105,19630630,110949,20223006,-7.3,-75.2,43,4.8,PERU,LORETO
106,19630630,124356,20223006,-8.8,-77.9,94,4.7,PERU,ANCASH
107,19630705,054813,20223006,-11.6,-77.5,55,6,OCEANO,MAR
108,19630705,142924,20223006,-3.2,-77.8,65,4.7,PERU,AMAZONAS
109,19630710,114735,20223006,-16.3,-72.2,90,4.6,PERU,AREQUIPA
110,19630722,163322,20223006,-12.5,-73.7,79,4.9,PERU,CUSCO
111,19630726,234826,20223006,-9.7,-78.5,62,5.3,OCEANO,MAR
112,19630801,183026,20223006,-15,-71.8,100,4.6,PERU,AREQUIPA
113,19630804,120724,20223006,-4.1,-80.9,34,5.1,PERU,TUMBES
114,19630805,084659,20223006,-9.9,-79,31,5.2,OCEANO,MAR
115,19630815,143601,20223006,-10,-78.6,80,4.9,OCEANO,MAR
116,19630815,172506,20223006,-13.8,-69.3,543,7.8,PERU,PUNO
117,19630818,230754,20223006,-14.2,-71.9,31,5,PERU,CUSCO
118,19630827,125655,20223006,-17.7,-70.1,158,4.7,PERU,TACNA
119,19630829,153031,20223006,-7.1,-81.6,23,7,OCEANO,MAR
120,19630831,103030,20223006,-15.9,-74.4,53,4.6,OCEANO,MAR
121,19630902,041018,20223006,-14.1,-76.4,41,4.9,OCEANO,MAR
122,19630910,073608,20223006,-14.6,-73.6,176,4.5,PERU,AYACUCHO
123,19630917,055436,20223006,-10.783,-78.269,61,6.7,OCEANO,MAR
124,19630920,040036,20223006,-11.3,-77.6,33,4.9,PERU,LIMA
125,19630924,163016,20223006,-10.754,-78.239,80,6.2,OCEANO,MAR
126,19631006,121047,20223006,-9,-75,82,4.6,PERU,HUANUCO
127,19631007,124353,20223006,-12.9,-76.8,69,5.7,OCEANO,MAR
128,19631019,021417,20223006,-18.3,-71.2,78,4.9,OCEANO,MAR
129,19631027,074526,20223006,-14.7,-71.7,121,4.7,PERU,CUSCO
130,19631028,025030,20223006,-13.6,-76.9,38,4.6,OCEANO,MAR
131,19631030,011731,20223006,-4.8,-77.9,20,5.6,PERU,AMAZONAS
132,19631031,231915,20223006,-4.9,-77.7,60,4.9,PERU,LORETO
133,19631102,160713,20223006,-12.5,-74.7,105,4.8,PERU,HUANCAVELICA
134,19631103,031012,20223006,-3.5,-77.8,18,6.2,PERU,AMAZONAS
135,19631103,042448,20223006,-4.3,-78.3,146,4.7,PERU,AMAZONAS
136,19631103,073810,20223006,-15.6,-73.3,112,5.2,PERU,AREQUIPA
137,19631103,120228,20223006,-3.7,-78.3,33,4.9,PERU,AMAZONAS
138,19631104,032930,20223006,-15,-75.8,52,4.5,OCEANO,MAR
139,19631106,010107,20223006,-12.8,-73.9,86,4.9,PERU,AYACUCHO
140,19631106,012846,20223006,-4.2,-77.7,170,4.6,PERU,AMAZONAS
141,19631106,183325,20223006,-16.7,-69.7,174,5.1,PERU,PUNO
142,19631108,192254,20223006,-3.7,-78.2,33,4.9,PERU,AMAZONAS
143,19631109,211532,20223006,-9.127,-71.483,591,7.6,BRASIL,BRASIL
144,19631110,010039,20223006,-8.976,-71.171,594,6.3,BRASIL,BRASIL
145,19631112,122645,20223006,-15.8,-72.4,33,4.5,PERU,AREQUIPA
146,19631115,001852,20223006,-4.7,-76.8,152,4.8,PERU,LORETO
147,19631118,071750,20223006,-16.5,-74.5,54,4.8,OCEANO,MAR
148,19631119,223658,20223006,-18.6,-72.2,33,4.9,OCEANO,MAR
149,19631127,021941,20223006,-16.6,-72.1,79,5.3,PERU,AREQUIPA
150,19631129,015845,20223006,-15.1,-73.7,124,5.1,PERU,AYACUCHO
151,19631204,031307,20223006,-8.3,-81.1,33,5,OCEANO,MAR
152,19631204,042122,20223006,-7.1,-80.4,45,4.9,OCEANO,MAR
153,19631206,181432,20223006,-7.1,-80.5,33,4.9,OCEANO,MAR
154,19631210,072636,20223006,-8.7,-79.8,33,4.9,OCEANO,MAR
155,19631218,014213,20223006,-7.4,-76,33,4.5,PERU,LORETO
156,19631219,145443,20223006,-8.3,-80.8,33,4.8,OCEANO,MAR
157,19631219,170407,20223006,-9.7,-79.1,56,5.4,OCEANO,MAR
158,19631220,104804,20223006,-5.2,-80.8,55,5.5,PERU,PIURA
159,19631224,024042,20223006,-6.6,-81.44,13,4.8,OCEANO,MAR
160,19631227,000959,20223006,-13.4,-72.7,42,4.6,PERU,CUSCO
161,19631230,162048,20223006,-18.3,-70.1,150,4.6,PERU,CHILE
162,19640103,132751,20223006,-5.3,-76,106,4.7,PERU,LORETO
163,19640105,183356,20223006,-7.98,-74.35,147,5.5,PERU,UCAYALI
164,19640110,053704,20223006,-17.52,-69.79,167,4.7,PERU,TACNA
165,19640112,142153,20223006,-11.71,-74.72,152,4.7,PERU,JUNIN
166,19640117,132722,20223006,-3.44,-77.5,33,4.6,PERU,LORETO
167,19640126,090935,20223006,-16.36,-71.62,116,6.2,PERU,AREQUIPA
168,19640128,130350,20223006,-14.82,-71.85,136,4.6,PERU,CUSCO
169,19640201,114737,20223006,-3.226,-77.77,87,5.4,PERU,LORETO
170,19640204,062453,20223006,-4.26,-80.8,100,4.5,PERU,PIURA
171,19640204,073808,20223006,-4,-80.79,67,4.9,PERU,TUMBES
172,19640215,044606,20223006,-7.68,-76,33,4.6,PERU,LORETO
